pickup_time,dropoff_time,id_taxi,pickup_long,pickup_lat,dropoff_long,dropoff_lat,distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,payment_type,passengers
1/7/13 10:05,1/7/13 10:13,A954A71B6D44265AE756BF807E069396,-73.98909,40.748367,-73.974983,40.756035,1.1,7.0,0.0,0.5,0.0,0.0,DIS,1
1/7/13 10:15,1/7/13 10:20,FAE1370A694D0621FAE1E62FAFD64080,-73.958649,40.768791,-73.97090899999999,40.76149,1.0,5.5,0.0,0.5,0.0,0.0,CSH,1
1/7/13 10:35,1/7/13 10:42,0B57B9633A2FECD3D3B1944AFC7471CF,-73.965843,40.758705,-73.978134,40.752731,1.2,7.0,0.0,0.5,0.0,0.0,CSH,1
1/7/13 10:42,1/7/13 10:48,6502AF8DFACB2ED1E98C8E19E1F9B1FD,-73.975433,40.752464,-73.975189,40.741436,1.0,6.0,0.0,0.5,0.0,0.0,CSH,1
1/7/13 12:21,1/7/13 12:26,237F49C3ECC11F5024B254268F054384,-73.95079,40.714039,-73.940895,40.721325,0.9,5.5,0.0,0.5,0.0,0.0,CSH,1
1/7/13 12:39,1/7/13 13:10,0B57B9633A2FECD3D3B1944AFC7471CF,-73.989937,40.756775,-73.86525,40.77063,10.7,34.0,0.0,0.5,0.0,4.8,CSH,3
1/7/13 13:21,1/7/13 13:34,2D4B95E2FA7B2E85118EC5CA4570FA58,-73.947601,40.77533,-73.978798,40.777584000000004,2.3,11.0,0.0,0.5,0.0,0.0,CSH,2
1/7/13 14:38,1/7/13 14:46,0B57B9633A2FECD3D3B1944AFC7471CF,-73.990623,40.756813,-73.982101,40.758984000000005,0.6,6.5,0.0,0.5,0.0,0.0,CSH,1
1/7/13 14:46,1/7/13 14:55,0B57B9633A2FECD3D3B1944AFC7471CF,-73.981796,40.758862,-73.967239,40.7617,1.1,7.5,0.0,0.5,0.0,0.0,CSH,1
1/7/13 15:27,1/7/13 15:38,20D9ECB2CA0767CF7A01564DF2844A3E,-73.96674300000001,40.764252,-73.983322,40.743763,1.7,9.5,0.0,0.5,0.0,0.0,CSH,1
1/7/13 15:32,1/7/13 15:35,24BBC0F0660705A705213997B408E775,-73.97062700000001,40.788956,-73.96949000000001,40.797729,0.8,5.0,0.0,0.5,0.0,0.0,CSH,1
1/7/13 15:33,1/7/13 15:49,2D4B95E2FA7B2E85118EC5CA4570FA58,-73.977936,40.786983,-73.952919,40.80637,2.5,13.0,0.0,0.5,0.0,0.0,CSH,2
1/7/13 16:04,1/7/13 16:07,2D4B95E2FA7B2E85118EC5CA4570FA58,-73.954712,40.789288,-73.96611,40.789959,0.7,4.5,1.0,0.5,0.0,0.0,CSH,1
1/7/13 16:31,1/7/13 16:35,B35B40A7C6563AAC24DF7566CD3434E1,-73.990356,40.749485,-73.990852,40.756248,0.6,4.5,1.0,0.5,0.0,0.0,CSH,1
1/7/13 16:33,1/7/13 16:35,A5A8A43BC46B1407C12AC4D4E336BF29,-73.97865300000001,40.752361,-73.980858,40.747856,0.2,3.5,1.0,0.5,0.0,0.0,CSH,1
1/7/13 17:18,1/7/13 17:20,7D99C30FCE69B1A9DD27E2AEAC9BFA0C,-73.968925,40.767703999999995,-73.96199,40.776565999999995,0.7,4.5,1.0,0.5,0.0,0.0,CSH,1
1/7/13 17:38,1/7/13 17:57,8F9B593AE29F10B40EBEA0BBDEDD249F,-73.873154,40.773998,-73.92878,40.859314000000005,10.3,30.0,1.0,0.5,0.0,4.8,CSH,1
1/7/13 17:54,1/7/13 18:00,5E162F2D7F569949769648C56A23C525,-73.985184,40.773998,-73.964737,40.801834,2.2,8.0,1.0,0.5,0.0,0.0,CSH,1
1/7/13 18:03,1/7/13 18:14,281BD3C8825FF093DCEC21A7E65697CE,-73.982033,40.783218,-73.957726,40.80088,0.5,4.0,1.0,0.5,0.0,0.0,CSH,1
1/7/13 18:05,1/7/13 18:23,B6FC8357E0D53B0F1FA897D536A20F5C,-73.956505,40.771278,-73.996368,40.732459999999996,3.8,15.5,1.0,0.5,0.0,0.0,CSH,4
1/7/13 18:12,1/7/13 18:19,8FCED8833E91F75673B4B4B4A7D720AB,-73.982315,40.774440999999996,-73.96590400000001,40.801421999999995,2.2,8.5,1.0,0.5,0.0,0.0,CSH,1
1/7/13 18:15,1/7/13 18:20,2C0E91FF20A856C891483ED63589F982,-73.98007199999999,40.743137,-73.982712,40.735336,0.8,5.5,1.0,0.5,0.0,0.0,CSH,1
1/7/13 18:24,1/7/13 18:36,2C0E91FF20A856C891483ED63589F982,-73.98653399999999,40.7342,-73.98786899999999,40.75914,2.3,10.5,1.0,0.5,0.0,0.0,CSH,1
1/7/13 18:42,1/7/13 18:46,E71CDEFCB364DA0D385629612EE30642,-73.98548100000001,40.75679,-73.99131,40.749984999999995,0.6,5.0,1.0,0.5,0.0,0.0,CSH,1
